955,Leguminosas,Harina de soya baja en grasa,4,cucharada,25,25,91,12.2,2.2,7.5,2.4,ND,ND,ND,1.5,629.7,ND,ND,2.5,ND,ND,ND,ND,ND,2.3,145.3,629.7,ND,4.4
956,Leguminosas,Harina de soya sin grasa,4,cucharada,22,22,81,11.2,1.5,7.9,2.1,ND,ND,ND,1.3,459.8,ND,ND,4.4,ND,ND,ND,ND,ND,13.0,148.5,459.8,ND,2.0
957,Leguminosas,Hummus,5,cucharada,75,75,125,5.9,7.2,10.7,4.5,ND,ND,ND,1.8,171.0,1.0,0.1,ND,ND,ND,ND,ND,ND,ND,132.0,171.0,ND,284.3
958,Leguminosas,Ibes o haba de lima cocida,1/2,taza,85,85,105,5.8,0.3,20.1,4.5,ND,ND,ND,2.1,484.5,32.0,6.4,1.4,ND,ND,ND,ND,ND,1.7,110.5,484.5,ND,14.5
959,Leguminosas,Ibes o haba de lima cruda,90,gr,90,90,102,6.2,0.8,18.2,4.4,ND,ND,ND,2.8,420.3,ND,ND,1.3,ND,ND,ND,ND,ND,1.6,122.4,420.3,ND,7.2
960,Leguminosas,Lenteja cocida,1/2,taza,99,99,115,9.0,0.4,20.0,7.8,ND,ND,ND,3.3,365.5,26.0,5.2,1.8,ND,ND,ND,ND,ND,2.8,178.0,365.5,ND,2.0
961,Leguminosas,Lenteja cruda,35,gr,35,35,124,9.0,0.4,21.0,10.7,ND,ND,ND,2.6,334.3,ND,ND,0.7,ND,ND,ND,ND,ND,2.9,157.9,334.3,ND,2.1
962,Leguminosas,Miso (soybean paste),60,gr,60,60,120,7.1,3.6,15.9,3.2,ND,ND,ND,1.5,0.0,ND,ND,3.6,ND,ND,ND,ND,ND,0.0,0.0,0.0,ND,2237.1
963,Leguminosas,Soya cocida,1/3,taza,57,57,98,9.4,5.1,5.6,3.4,ND,ND,ND,2.9,292.3,18.0,1.0,1.7,ND,ND,ND,ND,ND,4.1,139.1,292.3,ND,0.6
964,Leguminosas,Soya texturizada,30,gr,30,30,95,11.6,0.9,11.7,5.4,ND,ND,ND,3.6,577.5,ND,ND,ND,ND,ND,ND,ND,ND,0.2,193.9,577.5,ND,3.2
