1,Fruta,Agua de coco,1 1/2,taza,360,360,65,1.1,0.7,16.9,0.0,0.0,7.2,0.0,4.3,529.2,ND,ND,0.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2,Fruta,Albaricoque en almibar, 1/4,taza,65,65,54,0.4,0.1,13.8,1.8,94.3,2.0,1.3,0.2,92.3,ND,ND,12.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
3,Fruta,Albaricoque en mitades enlatados en jugo, 1/2,taza,122,122,59,0.8,0.1,15.1,2.0,103.5,6.0,2.5,0.4,201.5,ND,ND,13.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
4,Fruta,Albaricoque en mitades enlatados en agua,1    ,taza,227,227,61,1.6,0.4,14.5,3.6,167.0,7.0,5.1,0.7,349.0,ND,ND,10.9,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
5,Fruta,Anona,130    ,g,130,59,59,1.0,0.4,14.7,2.0,0.0,5.3,0.0,0.4,223.5,ND,ND,0.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
6,Fruta,Arándano fresco,1 1/2,taza,150,147,68,0.6,0.2,17.9,6.8,7.4,25.0,8.0,0.7,129.4,ND,ND,5.9,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
7,Fruta,Arándano seco con azucar, 1/2,taza,5,5,51,0.0,0.3,13.6,1.0,0.0,0.0,0.0,0.1,6.5,ND,ND,10.7,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
8,Fruta,Blueberries, 3/4,taza,109,107,61,0.7,0.4,15.4,2.6,0.0,13.9,6.4,0.2,94.9,,ND,10.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
9,Fruta,Blueberries congeladas, 3/4,taza,116,116,59,0.5,0.8,14.2,3.2,1.5,9.0,8.1,0.2,63.0,ND,ND,9.8,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
10,Fruta,Blueberries congeladas con azucar, 1/4,taza,58,58,47,0.2,0.1,12.6,1.3,0.5,3.5,4.0,0.2,34.5,ND,ND,11.4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
11,Fruta,Blueberries en almibar, 1/4,taza,64,64,56,0.4,0.2,14.1,1.0,1.3,0.8,1.3,0.2,25.5,ND,ND,13.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
12,Fruta,Breba,5    ,pieza,200,192,63,1.0,0.2,16.1,3.3,71.0,1.9,0.0,4.4,372.5,ND,ND,0.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
